Ano,Trimestre,UF,UPA,V1008,V1014,V2003,VD4009,V4019,VD4012,VD4002,V2007,V2010,V2009,VD2002,VD2003,V1022,V1023,VD3004,V3002,VD4010,VD4011,V4018,V4025,V4040,VD4031,V1028,VD4016,VD4017
2024,2,28,280000376,2,11,1,9.0,2.0,2.0,1.0,2,1,31,1,2,1,4,7.0,2.0,10.0,5.0,1.0,,4.0,8.0,313.15014522,400.0,400.0
2023,3,33,330291473,9,11,2,8.0,2.0,2.0,1.0,1,2,42,3,3,1,2,5.0,2.0,3.0,7.0,1.0,,4.0,40.0,342.91452041,2500.0,2500.0
2025,3,41,410269002,10,12,1,,,,,2,1,34,1,5,1,2,5.0,2.0,,,,,,,1029.73264302,,
2023,4,35,350004460,4,10,2,9.0,2.0,1.0,1.0,1,1,26,3,4,1,4,5.0,2.0,4.0,9.0,1.0,,4.0,40.0,2489.0025825,750.0,750.0
2025,2,17,170015930,3,12,1,,,,,2,4,45,1,8,2,4,2.0,2.0,,,,,,,153.66306524,,
2023,4,15,150046748,2,11,1,,,,,2,1,75,1,2,1,2,1.0,2.0,,,,,,,297.74028348,,
2023,4,35,350542900,7,11,2,,,,,2,1,56,2,2,2,4,2.0,2.0,,,,,,,34.19090976,,
2024,4,41,410264900,8,11,4,,,,,2,4,11,3,5,1,4,2.0,1.0,,,,,,,582.3608056,,
2025,1,26,260115713,10,12,2,,,,,2,4,69,2,3,1,1,3.0,2.0,,,,,,,436.71697159,,
2023,2,42,420056657,5,10,3,,,,,2,1,10,3,3,1,4,2.0,1.0,,,,,,,252.26648889,,
2023,1,13,130033956,8,10,4,10.0,,2.0,1.0,1,4,19,3,4,2,4,5.0,2.0,4.0,5.0,1.0,,4.0,30.0,139.24714582,,
2025,2,12,120003368,14,12,2,,,,,1,4,68,2,3,1,1,2.0,2.0,,,,,,,53.42741723,,
2025,4,41,410188708,8,12,3,9.0,2.0,2.0,1.0,1,4,17,3,4,2,4,4.0,1.0,1.0,6.0,1.0,,3.0,16.0,117.19219018,1000.0,1000.0
